timestamp,num_runs,dataset,depth,num_features,num_classes,num_samples_train,num_samples_val,num_samples_test,classical_params,classical_test_acc,classical_test_acc_std,classical_test_ce,classical_test_ce_std,classical_val_acc,classical_val_ce,quantum_params,quantum_test_acc,quantum_test_acc_std,quantum_test_ce,quantum_test_ce_std,quantum_val_acc,quantum_val_ce,quantum_config,better
2026-01-28T17:49:40.793970,3,iris,4,4,3,120,15,15,8,0.8888888955116272,0.03142696617954218,0.939999500910441,0.008528020379250593,0.8222222328186035,0.933501680692037,8,0.8666666746139526,0.0,0.9471314350763956,0.007274017267496419,0.7555555701255798,0.9548525412877401,2_ry,CLASSICAL
2026-01-28T17:51:48.400018,3,car,5,6,4,1382,173,173,10,0.7283236980438232,0.0,1.293857177098592,5.6195798014525375e-08,0.7398843765258789,1.2947763999303181,10,0.7283236980438232,0.0,1.2938570578893025,5.6195798014525375e-08,0.7398843765258789,1.2947763999303181,2_ry,SIMILAR
2026-01-28T17:52:47.201839,3,pima,5,8,2,614,77,77,10,0.6969697078069051,0.006122138823096438,0.6443400780359904,0.0003038497600687829,0.7402597665786743,0.6274112065633138,10,0.6883116960525513,0.010603855492592962,0.6454394857088724,0.0017113303603676646,0.7532467444737753,0.6204954981803894,2_ry,SIMILAR
2026-01-28T17:53:39.934175,3,australian,5,38,2,552,69,69,10,0.5603864590326945,0.006831947947817908,0.6738706429799398,0.00035961326643625083,0.4879227081934611,0.6961448391278585,10,0.5652173757553101,0.0,0.674049178759257,0.0003727988706916819,0.4637681146462758,0.6988102992375692,2_ry,SIMILAR
2026-01-28T17:53:52.044936,3,lymph,5,47,2,113,14,15,10,0.7333333492279053,0.0,0.6093803842862447,0.00012284945139857606,0.8571428656578064,0.5677746136983236,10,0.7333333492279053,0.0,0.6091322700182596,0.00034064782750797975,0.8571428656578064,0.5634659926096598,2_ry,SIMILAR
2026-01-28T17:54:44.704881,3,breast,5,9,2,559,70,70,10,0.9714285731315613,0.0,0.5124249458312988,9.621874747559044e-05,0.9428571462631226,0.5210625131924947,10,0.976190467675527,0.006734335846666677,0.5099681814511617,0.001686214242125877,0.9428571462631226,0.5210054318110148,2_ry,SIMILAR
2026-01-28T17:55:02.837191,3,heart,5,20,2,189,40,41,10,0.707317054271698,0.0,0.6287030975023905,0.0008516131349190031,0.850000003973643,0.5851906935373942,10,0.7154471675554911,0.022995348645442792,0.6246845126152039,0.0060592340566621595,0.850000003973643,0.5873907605806986,2_ry,SIMILAR
2026-01-28T17:55:26.345458,3,ecoli,5,6,5,228,49,50,10,0.8199999928474426,0.0,1.4857267141342163,0.00102662298676305,0.7551020383834839,1.5049878756205242,10,0.8333333333333334,0.01885619094688491,1.4855785767237346,0.000957047384943119,0.7551020383834839,1.504129687945048,2_ry,QUANTUM
2026-01-28T17:58:11.512878,3,led7,5,7,8,1794,384,385,10,0.6155844330787659,0.0,2.0146849155426025,0.0,0.6770833134651184,2.0048820972442627,10,0.6155844330787659,0.0,2.0146849950154624,1.1239159602905075e-07,0.6770833134651184,2.004882335662842,2_ry,SIMILAR
2026-01-28T18:11:02.566988,3,compas,5,12,2,8446,1056,1056,10,0.6695075631141663,0.0,0.6680031418800354,2.1213448548379165e-07,0.6420454382896423,0.6722656091054281,10,0.6695075631141663,0.0,0.6680037577946981,7.434005313662571e-08,0.6420454382896423,0.6722660064697266,2_ry,SIMILAR
2026-01-28T18:12:15.999728,3,german,5,23,2,767,96,96,10,0.65625,0.0,0.6666237115859985,4.599223547902209e-06,0.7916666865348816,0.6374872922897339,10,0.65625,0.0,0.6666109959284464,2.8097899007262688e-08,0.7916666865348816,0.6374712189038595,2_ry,SIMILAR
2026-01-28T18:20:41.454547,3,churn,5,40,2,5634,704,705,10,0.7617021203041077,0.0,0.6159626444180807,2.8097899007262688e-08,0.7315340638160706,0.6228181521097819,10,0.7617021203041077,0.0,0.6159626444180807,2.8097899007262688e-08,0.7315340638160706,0.6228181719779968,2_ry,SIMILAR
2026-01-28T18:20:58.983835,3,sonar,5,60,2,166,21,21,10,0.5714285969734192,0.0,0.659731368223826,0.004477608809936804,0.5555555820465088,0.6850267251332601,10,0.60317462682724,0.04489566597077454,0.6579368313153585,0.009192800230466515,0.523809532324473,0.6702719330787659,2_ry,QUANTUM
2026-01-28T18:33:32.212295,3,fico,5,23,2,8367,1046,1046,10,0.6414913932482401,0.0007805941648430418,0.6732855240503947,7.702695019847312e-05,0.6210962335268656,0.6749115188916525,10,0.6421287457148234,0.0023847280145685742,0.6731629371643066,3.829581805513482e-05,0.6198215285936991,0.6750734051068624,2_ry,SIMILAR
2026-01-28T18:50:04.438323,3,drybean,5,16,7,10888,1361,1362,10,0.8032305240631104,0.0005994799663941699,1.8531516393025715,0.00011146883812894598,0.7864315509796143,1.855130910873413,10,0.793685774008433,0.008328297905953212,1.8535856008529663,0.0003789996478701579,0.7830026944478353,1.8550090789794922,2_ry,SIMILAR
2026-01-28T19:02:40.745839,3,avila,5,10,12,8344,2086,10437,10,0.48382357756296795,0.0023264064161878885,2.4609928925832114,0.00020878501908217823,0.4883349339167277,2.4609857400258384,10,0.49129698673884076,0.0009559891883309874,2.460555632909139,0.0001514563393546128,0.49440715710322064,2.460623025894165,2_ry,SIMILAR
2026-01-28T19:03:50.102449,3,banknote,4,4,2,1097,137,138,8,0.9202898740768433,0.0,0.5465347766876221,1.390794912832126e-05,0.9270073175430298,0.5401772459348043,8,0.9106280406316122,0.013663895895635816,0.5484387477238973,0.00268511391106644,0.9245742162068685,0.5423120061556498,2_ry,SIMILAR
2026-01-28T19:11:38.706167,3,wine,5,11,7,5197,650,650,10,0.4774358967940013,0.0007252348712764573,1.9109076658884685,1.6121437370857235e-06,0.5112820665041605,1.9092957178751628,10,0.48769230643908185,0.008793033321009216,1.9109315872192383,0.00025451182388496233,0.4938461681207021,1.9101542631785076,2_ry,QUANTUM
2026-01-28T19:13:28.295708,3,yeast,5,8,10,1187,148,149,10,0.5279642144838969,0.006327562562738536,2.278582731882731,6.1014146135775344e-05,0.418918917576472,2.2809503078460693,10,0.5234899520874023,0.0,2.2785492738087973,2.7941690036892347e-05,0.4099099040031433,2.281019926071167,2_ry,SIMILAR
2026-01-28T19:13:45.808816,3,glass,5,9,6,171,21,22,10,0.621212104956309,0.02142748588083753,1.728987415631612,0.00031294895005057425,0.5079365273316702,1.7476381063461304,10,0.6666666666666666,0.04285497176167506,1.7220690250396729,0.005330079889730798,0.4920635024706523,1.7452538013458252,2_ry,QUANTUM
2026-01-28T19:14:49.962470,3,vehicle,5,18,4,676,85,85,10,0.3607843220233917,0.005545935208154502,1.3659166892369587,0.000668882635546386,0.4470588266849518,1.354318896929423,10,0.3607843220233917,0.01999615376340211,1.3646304607391357,0.0008422365526318393,0.46666667858759564,1.3536439339319866,2_ry,SIMILAR
2026-01-28T19:32:59.695388,3,egg,5,14,2,11984,1498,1498,10,0.5923453569412231,0.0008325820451620295,0.6839717825253805,3.316162798737602e-05,0.5709835290908813,0.6863600015640259,10,0.5883400241533915,0.0011346269794365457,0.6842648983001709,3.566991482597017e-05,0.5676457484563192,0.6865192850430807,2_ry,SIMILAR
